datetime,country,precio_eur_mwh
2026-05-27 00:00:00,FR,140.52
2026-05-27 01:00:00,FR,135.84
2026-05-27 02:00:00,FR,130.01
2026-05-27 03:00:00,FR,129.71
2026-05-27 05:00:00,FR,125.01
2026-05-27 07:00:00,FR,118.02
2026-05-27 08:00:00,FR,119.0
2026-05-27 09:00:00,FR,116.42
2026-05-27 10:00:00,FR,112.0
2026-05-27 11:00:00,FR,108.71
2026-05-27 12:00:00,FR,110.21
2026-05-27 13:00:00,FR,105.39
2026-05-27 14:00:00,FR,103.31
2026-05-27 15:00:00,FR,86.6
2026-05-27 16:00:00,FR,101.99
2026-05-27 17:00:00,FR,97.16
2026-05-27 18:00:00,FR,97.28
2026-05-27 19:00:00,FR,97.01
2026-05-27 20:00:00,FR,100.27
2026-05-27 21:00:00,FR,106.09
2026-05-27 22:00:00,FR,110.61
2026-05-27 23:00:00,FR,114.75
2026-05-28 00:00:00,FR,115.4
2026-05-28 01:00:00,FR,113.21
2026-05-28 02:00:00,FR,119.92
2026-05-28 03:00:00,FR,125.01
2026-05-28 04:00:00,FR,108.36
2026-05-28 05:00:00,FR,107.92
2026-05-28 06:00:00,FR,107.88
2026-05-28 07:00:00,FR,105.64
2026-05-28 08:00:00,FR,105.76
2026-05-28 09:00:00,FR,114.0
2026-05-28 10:00:00,FR,95.0
2026-05-28 11:00:00,FR,77.16
2026-05-28 12:00:00,FR,91.99
2026-05-28 13:00:00,FR,56.62
2026-05-28 14:00:00,FR,90.21
2026-05-28 15:00:00,FR,3.08
2026-05-28 16:00:00,FR,91.4
2026-05-28 17:00:00,FR,96.99
2026-05-28 18:00:00,FR,0.92
2026-05-28 19:00:00,FR,0.84
2026-05-28 20:00:00,FR,108.6
2026-05-28 21:00:00,FR,110.51
2026-05-28 22:00:00,FR,115.23
2026-05-28 23:00:00,FR,120.67
2026-05-29 00:00:00,FR,140.4
2026-05-29 01:00:00,FR,128.92
2026-05-29 02:00:00,FR,127.07
2026-05-29 03:00:00,FR,128.92
2026-05-29 06:00:00,FR,121.69
2026-05-29 07:00:00,FR,111.0
2026-05-29 08:00:00,FR,126.0
2026-05-29 09:00:00,FR,109.42
2026-05-29 10:00:00,FR,119.57
2026-05-29 11:00:00,FR,0.0
2026-05-29 12:00:00,FR,88.87
2026-05-29 13:00:00,FR,62.75
2026-05-29 14:00:00,FR,115.0
2026-05-29 15:00:00,FR,24.15
2026-05-29 16:00:00,FR,110.76
2026-05-29 17:00:00,FR,0.01
2026-05-29 18:00:00,FR,6.32
2026-05-29 19:00:00,FR,2.51
2026-05-29 20:00:00,FR,114.25
2026-05-29 21:00:00,FR,15.79
2026-05-29 22:00:00,FR,30.94
2026-05-29 23:00:00,FR,66.89
2026-05-30 00:00:00,FR,126.36
2026-05-30 01:00:00,FR,69.67
2026-05-30 02:00:00,FR,120.24
2026-05-30 03:00:00,FR,115.0
2026-05-30 04:00:00,FR,136.96
2026-05-30 05:00:00,FR,111.2
2026-05-30 06:00:00,FR,145.08
2026-05-30 07:00:00,FR,151.89
