datetime,precio_eur_mwh
2026-05-28 06:00:00+02:00,173.94
2026-05-28 06:00:00+02:00,173.94
2026-05-28 06:00:00+02:00,173.94
2026-05-28 06:00:00+02:00,173.94
2026-05-28 07:00:00+02:00,171.04
2026-05-28 07:00:00+02:00,171.04
2026-05-28 07:00:00+02:00,171.04
2026-05-28 07:00:00+02:00,171.04
2026-05-28 07:00:00+02:00,171.04
2026-05-28 08:00:00+02:00,165.84
2026-05-28 08:00:00+02:00,165.84
2026-05-28 08:00:00+02:00,165.84
2026-05-28 08:00:00+02:00,165.84
2026-05-28 08:00:00+02:00,165.84
2026-05-28 09:00:00+02:00,99.72
2026-05-28 09:00:00+02:00,99.72
2026-05-28 09:00:00+02:00,99.72
2026-05-28 09:00:00+02:00,99.72
2026-05-28 09:00:00+02:00,99.72
2026-05-28 10:00:00+02:00,129.59
2026-05-28 10:00:00+02:00,129.59
2026-05-28 10:00:00+02:00,129.59
2026-05-28 10:00:00+02:00,60.41
2026-05-28 10:00:00+02:00,60.41
2026-05-28 11:00:00+02:00,111.43
2026-05-28 11:00:00+02:00,111.43
2026-05-28 11:00:00+02:00,111.43
2026-05-28 11:00:00+02:00,111.43
2026-05-28 11:00:00+02:00,111.43
2026-05-28 12:00:00+02:00,109.69
2026-05-28 12:00:00+02:00,109.69
2026-05-28 12:00:00+02:00,109.69
2026-05-28 12:00:00+02:00,109.69
2026-05-28 12:00:00+02:00,109.69
2026-05-28 13:00:00+02:00,109.4
2026-05-28 13:00:00+02:00,109.4
2026-05-28 13:00:00+02:00,109.4
2026-05-28 13:00:00+02:00,109.4
2026-05-28 13:00:00+02:00,109.4
2026-05-28 14:00:00+02:00,40.73
2026-05-28 14:00:00+02:00,40.73
2026-05-28 14:00:00+02:00,40.73
2026-05-28 14:00:00+02:00,109.85
2026-05-28 14:00:00+02:00,109.85
2026-05-28 15:00:00+02:00,44.67
2026-05-28 15:00:00+02:00,44.67
2026-05-28 15:00:00+02:00,44.67
2026-05-28 15:00:00+02:00,44.67
2026-05-28 15:00:00+02:00,44.67
2026-05-28 16:00:00+02:00,50.9
2026-05-28 16:00:00+02:00,50.9
2026-05-28 16:00:00+02:00,50.9
2026-05-28 16:00:00+02:00,50.9
2026-05-28 16:00:00+02:00,50.9
2026-05-28 17:00:00+02:00,63.87
2026-05-28 17:00:00+02:00,63.87
2026-05-28 17:00:00+02:00,63.87
2026-05-28 17:00:00+02:00,63.87
2026-05-28 17:00:00+02:00,63.87
2026-05-28 18:00:00+02:00,167.36
2026-05-28 18:00:00+02:00,167.36
2026-05-28 18:00:00+02:00,167.36
2026-05-28 18:00:00+02:00,98.05
2026-05-28 18:00:00+02:00,98.05
2026-05-28 19:00:00+02:00,216.54
2026-05-28 19:00:00+02:00,216.54
2026-05-28 19:00:00+02:00,216.54
2026-05-28 19:00:00+02:00,216.54
2026-05-28 19:00:00+02:00,216.54
2026-05-28 20:00:00+02:00,277.41
2026-05-28 20:00:00+02:00,277.41
2026-05-28 20:00:00+02:00,277.41
2026-05-28 20:00:00+02:00,277.41
2026-05-28 20:00:00+02:00,277.41
2026-05-28 21:00:00+02:00,311.48
2026-05-28 21:00:00+02:00,311.48
2026-05-28 21:00:00+02:00,311.48
2026-05-28 21:00:00+02:00,311.48
2026-05-28 21:00:00+02:00,311.48
2026-05-28 22:00:00+02:00,301.62
2026-05-28 22:00:00+02:00,231.84
2026-05-28 22:00:00+02:00,301.62
2026-05-28 22:00:00+02:00,231.84
2026-05-28 22:00:00+02:00,231.84
2026-05-28 23:00:00+02:00,211.43
2026-05-28 23:00:00+02:00,211.43
2026-05-28 23:00:00+02:00,211.43
2026-05-28 23:00:00+02:00,211.43
2026-05-28 23:00:00+02:00,211.43
2026-05-29 00:00:00+02:00,156.74
2026-05-29 00:00:00+02:00,156.74
2026-05-29 00:00:00+02:00,156.74
2026-05-29 00:00:00+02:00,156.74
2026-05-29 00:00:00+02:00,156.74
2026-05-29 01:00:00+02:00,151.12
2026-05-29 01:00:00+02:00,151.12
2026-05-29 01:00:00+02:00,151.12
2026-05-29 01:00:00+02:00,151.12
2026-05-29 01:00:00+02:00,151.12
2026-05-29 02:00:00+02:00,142.44
2026-05-29 02:00:00+02:00,142.44
2026-05-29 02:00:00+02:00,142.44
2026-05-29 02:00:00+02:00,142.44
2026-05-29 02:00:00+02:00,142.44
2026-05-29 03:00:00+02:00,135.3
2026-05-29 03:00:00+02:00,135.3
2026-05-29 03:00:00+02:00,135.3
2026-05-29 03:00:00+02:00,135.3
2026-05-29 03:00:00+02:00,135.3
2026-05-29 04:00:00+02:00,131.76
2026-05-29 04:00:00+02:00,131.76
2026-05-29 04:00:00+02:00,131.76
2026-05-29 04:00:00+02:00,131.76
2026-05-29 04:00:00+02:00,131.76
2026-05-29 05:00:00+02:00,143.45
2026-05-29 05:00:00+02:00,143.45
2026-05-29 05:00:00+02:00,143.45
2026-05-29 05:00:00+02:00,143.45
