datetime,country,precio_eur_mwh
2026-05-27 00:00:00,ES,134.85
2026-05-27 01:00:00,ES,127.95
2026-05-27 02:00:00,ES,116.51
2026-05-27 03:00:00,ES,129.71
2026-05-27 04:00:00,ES,123.23
2026-05-27 05:00:00,ES,122.25
2026-05-27 06:00:00,ES,119.16
2026-05-27 07:00:00,ES,115.22
2026-05-27 08:00:00,ES,119.0
2026-05-27 09:00:00,ES,113.42
2026-05-27 10:00:00,ES,112.0
2026-05-27 11:00:00,ES,108.71
2026-05-27 12:00:00,ES,3.0
2026-05-27 13:00:00,ES,-2.76
2026-05-27 14:00:00,ES,106.51
2026-05-27 15:00:00,ES,106.5
2026-05-27 16:00:00,ES,108.71
2026-05-27 17:00:00,ES,105.91
2026-05-27 18:00:00,ES,107.0
2026-05-27 19:00:00,ES,107.41
2026-05-27 20:00:00,ES,108.01
2026-05-27 21:00:00,ES,109.34
2026-05-27 22:00:00,ES,111.71
2026-05-27 23:00:00,ES,-5.82
2026-05-28 00:00:00,ES,118.02
2026-05-28 01:00:00,ES,110.92
2026-05-28 02:00:00,ES,5.0
2026-05-28 03:00:00,ES,107.6
2026-05-28 04:00:00,ES,127.55
2026-05-28 05:00:00,ES,107.92
2026-05-28 06:00:00,ES,126.03
2026-05-28 07:00:00,ES,108.68
2026-05-28 08:00:00,ES,19.58
2026-05-28 09:00:00,ES,105.17
2026-05-28 10:00:00,ES,108.02
2026-05-28 11:00:00,ES,73.89
2026-05-28 12:00:00,ES,-4.16
2026-05-28 13:00:00,ES,56.62
2026-05-28 14:00:00,ES,49.39
2026-05-28 15:00:00,ES,69.64
2026-05-28 16:00:00,ES,37.54
2026-05-28 17:00:00,ES,14.73
2026-05-28 18:00:00,ES,4.18
2026-05-28 19:00:00,ES,0.84
2026-05-28 20:00:00,ES,2.47
2026-05-28 21:00:00,ES,111.62
2026-05-28 22:00:00,ES,0.07
2026-05-28 23:00:00,ES,120.67
2026-05-29 00:00:00,ES,7.0
2026-05-29 01:00:00,ES,-0.06
2026-05-29 02:00:00,ES,149.3
2026-05-29 03:00:00,ES,9.17
2026-05-29 04:00:00,ES,114.06
